Joe Burrow,38,650,945,68.8,8852,78,11,172.4
Kawaun Jakes,48,650,1123,57.9,7538,51,38,122.5
Jerrod Johnson,37,650,1109,58.6,8011,67,27,134.4
B.J. Daniels,47,649,1132,57.3,8433,52,39,128.2
Mike Glennon,36,646,1069,60.4,7411,63,31,132.3
Tyler Palko,41,645,1075,60,8343,66,25,140.8
Travis Wilson,45,645,1067,60.4,7401,54,37,128.5
Drew Weatherford,41,644,1128,57.1,7567,39,32,119.2
Ryan Cubit,41,643,1172,54.9,6789,50,53,108.6
David Fales,25,639,938,68.1,8382,66,22,161.7
Marcus McMaryion,43,639,1015,63,8044,50,18,142.2
Nick Stevens,41,638,1031,61.9,8554,70,27,148.7
Derek Thompson,40,636,1055,60.3,7427,42,34,126.1
Zac Dahman,42,632,1184,53.4,6904,36,48,104.3
Wes Lunt,34,631,1085,58.2,7008,42,19,121.7
Zach Maynard,41,630,1083,58.2,7905,47,37,127
K.J. Costello,35,629,1000,62.9,7434,55,29,137.7
Bo Nix,34,628,1057,59.4,7251,39,16,126.2
Josh Harris,42,627,1027,61.1,7503,55,28,134.6
Tommy Rees,43,627,1048,59.8,7670,61,37,133.5
Jason White,36,626,988,63.4,7913,81,24,152.8
Tommy Armstrong Jr,45,625,1172,53.3,8871,67,44,128.3
Aaron Opelt,39,625,1074,58.2,6804,46,29,120.1
Marquise Williams,46,624,1018,61.3,7965,61,25,141.9
Ryan Dinwiddie,42,622,992,62.7,9819,82,21,168.9
Jake Fromm,43,621,982,63.2,8224,78,18,156.1
Will Grier,28,621,945,65.7,8556,81,23,165.2
Lamar Jackson,38,619,1086,57,9043,69,27,142.9
Jake Locker,40,619,1148,53.9,7639,53,35,119
Terrance Broadway,42,618,965,64,7985,52,31,144.9
Austen Arnaud,40,616,1031,59.7,6777,42,34,121.8
Joshua Cribbs,43,616,1123,54.9,7169,45,34,115.6
Cole McDonald,33,616,1004,61.4,8032,70,24,146.8
Wesley Carroll,45,615,1068,57.6,6949,42,32,119.2
Joshua Dobbs,37,614,999,61.5,7138,53,29,133.2
Donovan Porterie,37,614,1058,58,6756,33,29,116.5
Zach Smith,40,614,1089,56.4,8223,53,34,129.6
Kellen Clemens,37,613,1005,61,7555,61,24,139.4
Joel Stave,44,613,1031,59.5,7635,48,37,129.8
Matt Corral,36,610,904,67.5,8271,57,22,160.3
Sam Hartman,33,610,1052,58,8513,64,24,141.5
Zac Robinson,45,610,999,61.1,8317,66,31,146.6
Jared Zabransky,47,610,980,62.2,8256,58,37,145
Taysom Hill,37,609,1047,58.2,6929,43,31,121.4
Jeff Driskel,42,607,1000,60.7,7437,50,28,134.1
Andy Schmitt,34,607,966,62.8,5867,33,25,120
Zack Mills,43,606,1082,56,7212,41,39,117.3
Juice Williams,48,606,1136,53.3,8037,56,44,121.3
Sam Bradford,31,604,893,67.6,8403,88,16,175.6
Patrick Pinkney,41,603,1003,60.1,6980,39,23,126.8
Adam Tafralis,45,603,1027,58.7,7548,52,29,131.5
E.J. Manuel,40,600,897,66.9,7741,47,28,150.4
Christian Ponder,35,596,965,61.8,6872,49,30,132.1
Jack Abraham,27,595,859,69.3,7067,41,29,147.4
Ty Gangi,32,595,989,60.2,7378,56,30,135.4
Johnny Manziel,26,595,863,68.9,7820,63,22,164.1
Ken Dorsey,35,594,1033,57.5,8758,76,26,148
Nate Sudfeld,38,593,983,60.3,7879,61,20,144.1
Tyler Wilson,34,593,948,62.6,7765,52,26,144
Everett Golson,34,590,964,61.2,7628,52,23,140.7
Stephen Garcia,40,589,1021,57.7,7597,47,41,127.4
James Franklin,41,586,943,62.1,6962,51,25,136.7
Blake Bortles,35,585,891,65.7,7598,56,19,153.8
Tom Brandstater,42,584,989,59,6857,47,32,126.5
Brandon Allen,42,583,1016,57.4,7463,64,26,134.8
Jerry Babb,42,583,1025,56.9,6261,30,38,110.4
Mitch Leidner,47,580,1029,56.4,7287,36,32,121.2
Riley Ferguson,26,579,917,63.1,7955,70,19,157.1
Anu Solomon,32,579,987,58.7,7309,53,18,134.9
Josh Love,33,578,1000,57.8,7206,43,29,126.7
Anthony Brown,41,576,1002,57.5,7172,56,24,131.3
Zac Thomas,41,576,914,63,6979,69,23,147
Taylor Martinez,43,575,962,59.8,7258,56,29,136.3
Chris Rix,43,575,1042,55.2,8390,63,40,135.1
Dorian Thompson-Robinson,35,575,950,60.5,7377,58,26,140.4
Tyler Huntley,37,574,854,67.2,7351,46,20,152.6
Tanner Lee,31,574,1040,55.2,6744,46,37,117.1
Corey Leonard,44,571,1088,52.5,7319,47,37,116.4
Sean Clifford,36,570,939,60.7,7331,58,22,142
J.P. Losman,37,570,987,57.8,6754,60,27,129.8
Ross Bowers,30,569,977,58.2,6590,35,22,122.2
Blaine Gabbert,29,568,933,60.9,6822,40,18,132.6
Chris Reynolds,35,568,917,61.9,7495,60,22,147.4
Nick Arbuckle,25,566,915,61.9,7651,51,29,144.2
